artist,song,song_id,playlist_id,rating
Drake,Legend,1ID1QFSNNxi0hiZCNcwjUC,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Make Me Proud,0pN1Ld0Fr9DTUaCGbKRvlF,1RGcVb0M6nwlDmOJwEYGl9,1
Kent Jones,Don't Mind,27PmvZoffODNFW2p7ehZTQ,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,9,4uCAKqQQYJaIvyzq4sZkaO,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Hype,07GilNHSfS5oicUgHgU7VG,1RGcVb0M6nwlDmOJwEYGl9,1
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,1RGcVb0M6nwlDmOJwEYGl9,1
Twenty One Pilots,Ride,2Z8WuEywRWYTKe1NybPQEW,1RGcVb0M6nwlDmOJwEYGl9,1
Rihanna,Stay,1dEy9Pl81QopSxNsPxXQxv,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,With You,5PMNu7kMZ4msbxiKnDTOt0,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Controlla,4CpKEkdGbOJV51cSvx7SoG,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Childs Play,0k9RIzZtAo4DTQu0ZM6lNZ,1RGcVb0M6nwlDmOJwEYGl9,1
Twenty One Pilots,Heathens,6i0V12jOa3mr6uu4WYhUBr,1RGcVb0M6nwlDmOJwEYGl9,1
Shawn Mendes,Treat You Better,1mSlftOO1dlDRXAyOE0Sbd,1RGcVb0M6nwlDmOJwEYGl9,1
Drake,Still Here,4YJmZfvlheSziXem8HBWrj,1RGcVb0M6nwlDmOJwEYGl9,1
Chance the Rapper,No Problem (feat. Lil Wayne & 2 Chainz),0v9Wz8o0BT8DU38R4ddjeH,1RGcVb0M6nwlDmOJwEYGl9,1
Future,Wicked,6BbINUfGabVyiNFJpQXn3x,1RGcVb0M6nwlDmOJwEYGl9,1
Shelley FKA DRAM,Broccoli,0qy5D3OJre7SPJNMOL9I71,1RGcVb0M6nwlDmOJwEYGl9,1
Marc E. Bassy,You & Me,0qRZ9ydGdzeVk3S01pLGoJ,1RGcVb0M6nwlDmOJwEYGl9,1
Bruno Mars,Liquor Store Blues (feat. Damian Marley),4KykoaJQ5UxjCpp3lYkvTE,1RGcVb0M6nwlDmOJwEYGl9,1
J. Cole,Trouble,4pqiLICe0uTHb9WfY02ek9,1RGcVb0M6nwlDmOJwEYGl9,1
J. Cole,A Tale of 2 Citiez,7lL3MvFWFFSD25pBz72Agj,1RGcVb0M6nwlDmOJwEYGl9,1
Katy Perry,Rise,1CwNogTShsnsn1C8UhRmYX,1RGcVb0M6nwlDmOJwEYGl9,1
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,1RGcVb0M6nwlDmOJwEYGl9,1
DJ Khaled,For Free (feat. Drake),5TqBAOIBe0bQA0spNdcG3k,1RGcVb0M6nwlDmOJwEYGl9,1
J. Cole,Forbidden Fruit (feat. Kendrick Lamar),5kpnUpMNV9dPNCKY7JtW3Q,1RGcVb0M6nwlDmOJwEYGl9,1
